[2017-12-30 17:04:39:0578] | GigEVisionManager.cpp-L2329: AppGetCount[604], AppGetCountSucceed[4], ExpectRecv[4], NetRecv[4], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:04:39:0602] | GigEVisionManager.cpp-L2329: AppGetCount[604], AppGetCountSucceed[4], ExpectRecv[4], NetRecv[4], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:04:39:0602] | GigEVisionManager.cpp-L0901: disconnect device ...
[2017-12-30 17:04:39:0616] | GigEVisionManager.cpp-L2329: AppGetCount[604], AppGetCountSucceed[4], ExpectRecv[4], NetRecv[4], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:04:39:0616] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2017-12-30 17:04:39:0690] | GigEVisionManager.cpp-L2861: event thread stop
[2017-12-30 17:04:39:0987] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2018-01-02 09:31:19:0152] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:31:19:0152] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:31:19:0152] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:31:19:0152] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:31:19:0153] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[52041], devIP[a9fe0f93]
[2018-01-02 09:31:19:0154] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:31:19:0154] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:31:19:0163] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:31:19:0438] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:31:20:0452] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[5340]
[2018-01-02 09:32:35:0702] | GigEVisionManager.cpp-L2329: AppGetCount[577], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:32:36:0993] | GigEVisionManager.cpp-L2329: AppGetCount[577], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:32:36:0993] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:32:36:0993] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2018-01-02 09:32:37:0007] | GigEVisionManager.cpp-L2329: AppGetCount[577], AppGetCountSucceed[3], ExpectRecv[3], NetRecv[3], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:32:37:0043] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:32:37:0716] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2018-01-02 09:32:46:0647] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:32:46:0647] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:32:46:0647] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:32:46:0647] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:32:46:0647] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[52054], devIP[a9fe0f93]
[2018-01-02 09:32:46:0648] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:32:46:0648] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:32:46:0658] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:32:46:0920] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:32:50:0387] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[4596]
[2018-01-02 09:35:05:0923] | GigEVisionManager.cpp-L2329: AppGetCount[1332], AppGetCountSucceed[13], ExpectRecv[13], NetRecv[13], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:35:05:0949] | GigEVisionManager.cpp-L2329: AppGetCount[1332], AppGetCountSucceed[13], ExpectRecv[13], NetRecv[13], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:35:05:0949] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:35:05:0965] | GigEVisionManager.cpp-L2329: AppGetCount[1332], AppGetCountSucceed[13], ExpectRecv[13], NetRecv[13], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:35:05:0965] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
